ft,id,lg,predicted_label,classification_result,correct,article_link
"Message à nos lecteurs et annonceurs Fête de l'Ascension « l'Express » ne paraîtra pas le jeudi 4 mai. les bureaux, réception et ateliers du journal seront fermés ce jour-là Délai pour la réception des annonces : Editions : Vendredi 5 mai mardi 2 mai, 12 h Samedi 6 mai mercredi 3 mai, J 2 h lundi 8 mai mercredi 3 mai, 12 h Mardi 9 mai vendredi 5 mai, 12 h les annonces parvenant après ces délais seront sans autre reportées à la prochaine date de parution possible. les avis mortuaires, avis de naissances et avis tardifs sont acceptés la veille des parutions jusqu'à 21 heures EEXPRESS NEUCHATEL ^^^^^^^^^^^^ a ^^^^*^^^^^™^™' 760840-80 ",EXP-1989-05-03-a-i0223,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1989-05-03-a-i0223
"B ; "" ~~ HÏ ! I H La famille de H'Monsieur I Eric DESVOIGNES H remercie très sincèrement les personnes qui ont pris part à sa douloureuse 1 B épreuve par leur présence, leurs dons, leurs messages ou leurs envois de 1 H fleurs. m Elle les prie de trouver ici l'expression de sa profonde reconnaissance. [Chézard, août 1989 ¦ HIIIIMM * y-Z JBHHB- _™ 721298-79 » ",EXP-1989-08-23-a-i0222,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1989-08-23-a-i0222
"Le comité de la Société française « La Fraternité » a le regret d'informer ses membres du décès de Monsieur Léon MERCK maître-coiffeur ancien et dévoué membre actif. L'enterrement,. avec suite, aura lieu le samedi 20 janvier, à 13 h. Rendez-vous au cimetière de Beauregard. ",EXP-1934-01-19-a-i0142,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1934-01-19-a-i0142
"t _> 4 P"""" w _^-~~ *> mm La mode sous la pluie Manteau de pluie en coton écossais « black watch », entièrement doublé de popeline, avec col se portant ouvert ou _^ m _±. _^ fermé el ceinture à nouer. \ _m ____ _k. _l __ m ____ k 00.--> _'__^_^ ^^_^^^ _^^^^_—^^^_^^^_ I ^^ JH I _E _^ _- _T S jjH ; F _^ £ ^^ K _^ W-1 H'9'mg' I _^ _V i \ w ^* I M ^___\^^ _BBBBxf ^^^ J ^__^^^^__\\___^^ m 9 _^ _K _______\\\\__________\ _________________ W ^_ W ___\ WW ___ -D __ _MUi ____ tt ___ _M ____ _M __ m ___ _B ______^ _BSl _ B ______ n ___ _i ",IMP-1961-04-25-a-i0049,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-04-25-a-i0049
"fe ""J | ... ta •'î ï [*> î' _RP _3 _S « r—j r I _"" II II i ç-XÏ,W\ [',:..%ï*lLi^fJI ItBîîlifS to ™» ¦ fi ** _"" *'ifÊwà UnevraiecigarettepS^BBImportéedesUSA américainelongformat1^»^""'j (KlitSSize)SLf1J î|le*p h Vf'x-yL _^ [• _¦ M.--'f(JlGAÎRkrTES-\ _JQ _> MADE IN U. S. A, USÛCTT S- MYtRS TO _» _ACCO CO.'J _be _f > VÊÊÊÊÊÊÊÊKÊÊÊittHÊÊÊÊÊKHKkM Margotabac, Lausanne Importateur No 37 "" ",IMP-1961-04-28-a-i0293,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-04-28-a-i0293
"¦ _fif _^ _R _^ : I _ f c ____ La _ i _ t-_r _^ ft if _^ r _•^ wtTC smc'_^ c ch *< P c mois... n'y pensez plus ! pour recevoir gratuit. ment notre prospectus M // /\ _ H _| _^ __ __ ^^^_\ TARI FAI I AMMIIFI écrivez ( an _majiMculea rr. p.) voir, _« dres _. e W / {/ _\ JM'1 > ^^ _\ ____»>— IADI- _. AU MWWL et-dessou _» et metter ce coupon tous enve- W / ^^ _^ j ^________________ T "" "" _fXWa dM _cydaa _^ _^-_^ loppo non larme, et affranchi, à 5 et ». U- -Z ^_ "" _ H _ P _^ _"" _^ P ^^ » I — "" * "" ~ 'l'l'l * l'l * l'l'l _* l * l '' l '' l ""_' _. _< _jr *^ :- ''^ __« ^^ ___^ H""t ** l'. H M f « N —l _^ mT- ---'[ METHODE MODERNE ---- _=H l V | n Ni..... ~ Z _ Z Z Z _• _ _. _^ _H _^ _^ _MM I _¦. _^ _ ^^ — _^ F / _ t * —°'"" * _ ¦_ — __, ______ __ ____^ _PSBB _ _ __ ftlensuellcL "" — M- ». —«. _—-—..-C 3 ___ __-»_ -a---- _ ---P _ l _ffg / f médiale et le calendrier œnceptionnel pCUSCTOUt _pOUT VOUS ! ",IMP-1961-05-17-a-i0109,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-05-17-a-i0109
"INTÉRESSANT! Fr. Salame extra, le kg. 9. 50 Salame type Varzi 10. — Salame I 7. 50 Salametti extra 7. — Salametti « Azione » 5. 50 Mortadella Bologna 5. — Mortadella « Vismara » 6. 50 « Luganesi » saucisses 5. — Jambon cru et coppa 11. — Cervelas, la paire —. 60 Charcuterie Paolo Flori, Locarno ( Tl). ",IMP-1961-09-20-a-i0251,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-09-20-a-i0251
"\ t ^» ""J.'. viUM _' _^ m '""» !'...... _Ly _*-_!,.. _!. yV HIM. _1 |? « J ¦¦ -l'iWl'l'V. '^^^ ¦'-W'-»'¦¦* ¦¦ «, W ¦¦¦> « ""rWM "". W ;!'"""";!;*? ""-""'"""" » *' _-'!*». <* -Aj W ^^ j. _fl SI _Slgn O r _B _, préparez les raviolis à WOfi * B gOÛtmmm avec des condiments ou votre sauce préférée... gratinés avec l'accompagnement de votre choix... dans un bouillon ( en italien « al brodo ») ou peut-être frits... autant de délicieuses variétés que vous pourrez servir grâce aux Raviolis Roco nature V ""'-¦''.'¦... ¦'""¦ ¦'¦ ¦ ¦ . :'¦'¦. : < ¦ "".'. ¦ ,'¦ ¦ ¦'v.::--. "".'*....... yy.-. y é.:- ¦ ¦ ¦ _% yy : -M,..'-r A A -, '¦¦ :.. ¦ A f j _$-¦¦'* "", W''¦¦''-4 »_ i &...-¦'¦. s _^ i — "" »* "" _. _, ¦ , ¦.. ¦ ¦ *..-, _;.. __ | IHHB ^^ H |^^^ K _20 _^-_"" ^^ _mymmmwÊÊmÊBv _^ rT-1-~'-'^ mmaÊÊm ^^^^ B ^^ '¦ ¦ _¦.-* _¦ I _nrw. «^________ _K ___ r _ 8 fi _ --i'> 2 _________ _i _________________ _l __________________ S : ¦ A'y""' A _5 _^ A _* A V iaA'AA- ¦ _*• _"" _* «|* •¦ WMêM'"" -. f.,... _^ _Ç if _^ _xf ^^ _SL _"" v _y _^ _V ~* ",IMP-1961-10-07-a-i0119,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-10-07-a-i0119
"LE CONTREPOIDS M ÏSF / fÊ _^ Êm \ ÉB *';; v _^ i v.%'f' _^ 3 / n"" '""™ "" * \ km mm I _JjjMniirt » _. _^ \ 1-1 yy'. J g-., v / _m !» _W I S » L * t >° u' 1 '""' Fr'•—W •—W Wttf * varr < ALA CELLULITE Pour la 90 »/., ces paquet » da cellulite qui défo > ment votre silhouetta » ont formés d'eau. Combattez l'eau par l'eau. En buvant Contrexévllle, vous éliminerez dans la Journée davantage que le volume consommé. Contrexévllle •contrat Jeunesse. Eau minéral * naturelle sulfatée ealclqu _» ",IMP-1961-11-08-a-i0079,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-11-08-a-i0079
"# *"" _p _^ P t | » _^ Toujours _^ sJL _^ Br _ M jl un aspect frais I _lillilPfc _^ _^ _aJmj / _e _^ _T _| JB SL. JrJ. _& M m. grâce à -^^^^^^^^^^ Lm f M'¦ Sm \ m TB ^» 8 i _HBBBi ^^^ ¦ »_* i / m ¦. m i _^ 9 ïi ^^ j. H H JL ^^^ _rf _^ _Sw _^ ff y j _^ _Bi. i'.'IXSya _^ * _j uu _^ m _^ _MMmMfi HH BBI _Blf * a 3 B "" "" t. H iro [ ^^^ _^ B- _^ _.'_^ x ;; ''*¦ _¦ ¦'¦ ; : r :-'_. y _. _^ 7 -i _^ _Ci ^^^ L / _^ yT _^ yy _^ Li r _- _\ I ~ _i r ~ f _^ f""i'r ~ r-i ffciinrnr > i '"" Niwoion I r 3 Actuellement en avant-programme au V _^ _inCITlcl ntA ",IMP-1961-11-24-a-i0141,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-11-24-a-i0141
