ft,id,lg,predicted_label,classification_result,correct,article_link
"W1944^^ Fiduciaire ManrauBrunnerFrossard Société anonyme Membre de l'Association suisse des Experts-comptables et fiscaux -Expertises, révision et fonction de contrôleurs aux comptes selon le Code des obligations -Organisation, tenue et clôture de comptabilités -Conseil et représentation en matière fiscale -Gestion de fortunes mobilières et immobilières Société fondée en 1944 Téléphone 038 31 31 55 Anciennement Fiduciaire 2034 Peseux / Neuchâtel Schenker Manrau S. A. Avenue Fornachon 29 590096-73 ",EXP-1989-02-27-a-i0563,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1989-02-27-a-i0563
"Message à nos lecteurs et annonceurs Fête de l'Ascension « l'Express » ne paraîtra pas le jeudi 4 mai. les bureaux, réception et ateliers du journal seront fermés ce jour-là Délai pour la réception des annonces : Editions : Vendredi 5 mai mardi 2 mai, 12 h Samedi 6 mai mercredi 3 mai, J 2 h lundi 8 mai mercredi 3 mai, 12 h Mardi 9 mai vendredi 5 mai, 12 h les annonces parvenant après ces délais seront sans autre reportées à la prochaine date de parution possible. les avis mortuaires, avis de naissances et avis tardifs sont acceptés la veille des parutions jusqu'à 21 heures EEXPRESS NEUCHATEL ^^^^^^^^^^^^ a ^^^^*^^^^^™^™' 760840-80 ",EXP-1989-05-03-a-i0223,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1989-05-03-a-i0223
"B ; "" ~~ HÏ ! I H La famille de H'Monsieur I Eric DESVOIGNES H remercie très sincèrement les personnes qui ont pris part à sa douloureuse 1 B épreuve par leur présence, leurs dons, leurs messages ou leurs envois de 1 H fleurs. m Elle les prie de trouver ici l'expression de sa profonde reconnaissance. [Chézard, août 1989 ¦ HIIIIMM * y-Z JBHHB- _™ 721298-79 » ",EXP-1989-08-23-a-i0222,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1989-08-23-a-i0222
"Le comité de la Société française « La Fraternité » a le regret d'informer ses membres du décès de Monsieur Léon MERCK maître-coiffeur ancien et dévoué membre actif. L'enterrement,. avec suite, aura lieu le samedi 20 janvier, à 13 h. Rendez-vous au cimetière de Beauregard. ",EXP-1934-01-19-a-i0142,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1934-01-19-a-i0142
"oeo ¦ CENTRE D'EDUCATION OUVRIÈRE LA CHAUX-DE-FONDS Mardi 31 janvier, à 20 h. 15, à la Grande salle du Cercle ouvrier, Maison du Peuple Conférence de J.-P. GORETTA MON METIER LE REPORTAGE avec 2 films en couleurs tournés en Amazonie et dans la Cordillière des Andes. Prix des places : Fr. 2-Membres du CEO : Fr. 1",IMP-1961-01-30-a-i0015,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-01-30-a-i0015
"t _> 4 P"""" w _^-~~ *> mm La mode sous la pluie Manteau de pluie en coton écossais « black watch », entièrement doublé de popeline, avec col se portant ouvert ou _^ m _±. _^ fermé el ceinture à nouer. \ _m ____ _k. _l __ m ____ k 00.--> _'__^_^ ^^_^^^ _^^^^_—^^^_^^^_ I ^^ JH I _E _^ _- _T S jjH ; F _^ £ ^^ K _^ W-1 H'9'mg' I _^ _V i \ w ^* I M ^___\^^ _BBBBxf ^^^ J ^__^^^^__\\___^^ m 9 _^ _K _______\\\\__________\ _________________ W ^_ W ___\ WW ___ -D __ _MUi ____ tt ___ _M ____ _M __ m ___ _B ______^ _BSl _ B ______ n ___ _i ",IMP-1961-04-25-a-i0049,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-04-25-a-i0049
"Le famille de Madame Bertha JEAN-RICHARD très émue des marques d'affection et de sympathie qui lui ont été témoignées durant ces jours de pénible séparation, exprime à toutes les personnes qui l'ont entourée sa reconnaissance et ses sincères remerciements. ",IMP-1961-06-17-a-i0236,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-06-17-a-i0236
"INTÉRESSANT! Fr. Salame extra, le kg. 9. 50 Salame type Varzi 10. — Salame I 7. 50 Salametti extra 7. — Salametti « Azione » 5. 50 Mortadella Bologna 5. — Mortadella « Vismara » 6. 50 « Luganesi » saucisses 5. — Jambon cru et coppa 11. — Cervelas, la paire —. 60 Charcuterie Paolo Flori, Locarno ( Tl). ",IMP-1961-09-20-a-i0251,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-09-20-a-i0251
"A LOUER :appartement centré, 3 ou 5 pièces, tout confort, chauffage au mazout, dans maison d'ordre. Eventuellement à l'usage de bureau, pour ¦ le 30 avril 1962. — Ecrire sous chiffre F J 20 085 au bureau de L'Impartial. ",IMP-1961-10-04-a-i0043,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-10-04-a-i0043
"TERMINAGES Importante entreprise horlogère de la place sortirait mensuellement 4000 pièces, calibre 1130 AS ; qualité : C. F. H. M. Outillage mécanisé serait mis à disposition. Faire offres avec prix, sous chiffre E X 26 302 au bureau de L'Impartial. ",IMP-1961-12-19-a-i0026,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1961-12-19-a-i0026
"de montres et décors or et platine, ayant bonne clientèle, cherche associé ou _intéressé disposant de Fr. 20 à 25-000. —. Eventuellement _, bonne caution suffirait. Affaire sérieuse et intéressante. — Offres écrites sous chiffre F. F. 10, à la succursale de I'IMPARTIAL, rue Léopold-Robert 64. to ",IMP-1926-01-11-a-i0056,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-01-11-a-i0056
"Uenle (lyre à gré L'Office des faillites du Val-de-Travers, offre à vendre de gré à gré : 3491 1 moulin à sable « Ammann » avec accessoires, 1 batteuse « Badenia », avec bâche et accessoires, i locomobile à scier et fendre le bois, moteur 10 HP. et accessoires, i moteur électrique et i mise en marche électrique, 1 tour à filleter et accessoires, 1 scie circulaire, 1 scie à métaux, etc. Ce matériel se trouve à Fleurier. Pour visiter et renseignements s'adresser à l'Office des Faillites, à Môtiers, auquel les offres d'achat doivent être faites jusqu'au 15 mars 1926. ",IMP-1926-02-24-a-i0019,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-02-24-a-i0019
"Horlogerie-Bijouterie Pour cause de reprise d'une affaire plua imnortante. à renaître à Lausanne, commerce il Horlogerie-Bijouterie-Orfèvrerie _Capital nécessaire, lô à 18. 000 Frs. Heuéfice brut prouve, 1000 à 1 _Ï 00 Fr. par mois. Location magasin 125 Frs. — Ecrire Case Postale 11220. Mousqtiir. es, Lausanne. ra 50832 c. 1184 ? _wi ",IMP-1926-06-17-a-i0069,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-06-17-a-i0069
"Thoune, Qoldiwil, ftilterfingen, Qberhofeny Qunten, JSigristvU, ïïlerligen Saison du _prinSemps, d'été et d'automne j _Navigation a vapeur Chemin de fer au bord du Lac-FunlcuDaire au Beatenberg-& nl'-. es du St-Beat-Promenade auprès du Lac Tennis, GoBf, Sports nautiques ! Vie de bains. Prospectus par les Bureaux officiels de renseignements locaux. ainsi que par la Société trafic du Lac de Thoune. JH-2375-B 6198 ",IMP-1926-06-18-a-i0078,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-06-18-a-i0078
"leçons 9 e piano Nelly EMERY prof. a repris ses leçons Nouvelles inscriptions aux MAGASINS DE L'ANCRE 20, Lèopold-Robert, 20'La Chaux-de-Fonds LEÇONS le jeudi, à Fontainemelon. Cernier et Dombresson Nouvelles inscriptions au Bureau de Postes, de Fontainemelon. 16037 ",IMP-1926-09-04-a-i0122,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-09-04-a-i0122
c /> LU o o z z : < en LU o C /> ^ E LU ce LU o < LU o -1 (/) LU ce LU DE h-1 — O LU ce O LU LU _ 1 ,GDL-1996-10-09-a-i0531,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/GDL-1996-10-09-a-i0531
"Que se passerait-il s'il avait personne pour assurer la garde dans les hôpitaux Dans certaines professions le travail de nuit va de La nouvelle loi sur le travail des personnes travaillant la R° bert £ coffey , ou, an 9 -Wbourg améliore la protection nuit. Comité romand Case postale la loi sur le travail 3001 Berne PUBLICITÉLoi sur le travail oyif ? soi. pour 8615 ",GDL-1996-10-04-a-i0135,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/GDL-1996-10-04-a-i0135
"PUBLICITÉOrchestre de la Suisse Romande Coproduction. M ,.. _ Ville de Genève JL. Victoria Hall Mercredi 19 juin, 20 h 30 Série bleue, 5 concert d'abonnement Direction : Heinz Holliger David Geringas, violoncelle Bartok Quatre pièces pour orchestre op. 12 Goubaïdoulina Concerto pour violoncelle N° 2 Schumann Symphonie N° 4 Location : BilletelOSR (* 311 2513) ettous les points Billetel Genève. Victoria Hall : jour du concert de 9 h à 12 h 30, de 15 hà 19 hetdès 19 h 45 (S 328 81 21) Prix : Fr. 12 .- (étudiants / AVS / chômage) à Fr. 70-Avec l'appui du Canton et de la Ville de Genève ",GDL-1996-06-15-a-i0166,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/GDL-1996-06-15-a-i0166
"_. EEEEE ; Agenda | AUJOURD'HUI ¦ Pharmacie de service : Pharmacia du Landeron, permanence de nuit sur appel : 9 5125 67. ¦ Soins à domicile : Dispensaire de Saint-Biaise :'C 33 1807 (de 7 h à 8 h et de 13 h à 14 h). OUVERT IA NUIT | ¦ Le Chasseur, Enges : dancing ouvert jusqu'à 2 h. ¦ Le Play Boy, Thielle : dancing ouvert jusqu'à 2 h. ¦ Alpen Play Boy, Thielle : danse, ambiance autrichienne. ",EXP-1987-07-17-a-i0042,fr,ad,false_ad,False,https://impresso-project.ch/app/article/EXP-1987-07-17-a-i0042
Une proposition égyptienne L'Egypte a proposé à la Commission Palestine que l'Assemblée consulte la ternationale de justice afin de savoir : 1. semblée de l'ONU est compétente pour mander le partage de la Palestine ou l’é ment d’un Etat fédéral de Terre-Sainte ; ou plusieurs membres de PONU peuvent effet à l’une ou l’autre solation sans le ment du peuple de Palestine. ,LSE-1947-10-17-a-i0072,fr,non-ad,correct_non_ad,True,https://impresso-project.ch/app/article/LSE-1947-10-17-a-i0072
"Madame Berthe Matthey-Jeanquartier très touchée des marques de sympathie reçues lors du décès de son mari Monsieur Marcel MATTHEY exprime, à toutes les personnes qui l'ont entourée, sa reconnaissance et ses sincères remerciements. Les présences, les messages, les dons ou les envois de fleurs lui ont été un grand réconfort. Neuchâtel, janvier 1973. ",EXP-1973-02-03-a-i0058,fr,non-ad,correct_non_ad,True,https://impresso-project.ch/app/article/EXP-1973-02-03-a-i0058
"Mineurs tchèques recherches abandonnées PRAGUE (REUTER).-Les recherches entreprises pour retrouver les 45 mineurs ensevelis dans une mine de charbon d'Ostrava, dans le nord de la Tchécoslovaquie, jeudi dernier, ont été abandonnées, a déclaré dimanche un responsable des opérations de secours. ",EXP-1977-01-03-a-i0250,fr,non-ad,correct_non_ad,True,https://impresso-project.ch/app/article/EXP-1977-01-03-a-i0250
"Désagréable surprise Un Belge qui avait fait la tournée des cabarets dans le quartier de la gare, eut la désagréable surprise de constater tout à coup que son portefeuille -s’était allégé d’un millier de francs. U est allé porter ses doléances à la police qui recherche le voleur. ",indeplux-1922-10-14-a-i0009,fr,non-ad,correct_non_ad,True,https://impresso-project.ch/app/article/indeplux-1922-10-14-a-i0009
"Pour la revision des droits de douane La Fédération des oommerçants-dëtaiHants vient d'émettre un vœu demandant aux représentants de la nation de diminuer, dans toute la mesure du possible, surtout vis-à-vis des pave à change déprécié, les droits de douane sur les articles de première nécessité- ",lepetitparisien-1922-12-24-a-i0054,fr,non-ad,correct_non_ad,True,https://impresso-project.ch/app/article/lepetitparisien-1922-12-24-a-i0054
